1. allumer: éteindre, briller, éclairer
2. beaucoup: peu, trop, assez
3. beau: laid, joli, magnifique
4. bon: mauvais, excellent, délicieux
5. chaud: froid, tiède, brûlant
6. commencer: finir, débuter, démarrer
7. content: triste, heureux, joyeux
8. courageux: peureux, brave, vaillant
9. court: long, bref, petit
10. dernier: premier, suivant, final
11. descendre: monter, grimper, tomber
12. difficile: facile, compliqué, simple
13. donner: recevoir, prendre, offrir
14. drôle: sérieux, amusant, comique
15. dur: mou, solide, rigide
16. fort: faible, puissant, robuste
17. grand: petit, immense, haut
18. haut: bas, élevé, sommet
19. jour: nuit, matin, soirée
20. juste: injuste, correct, équitable
21. large: étroit, ample, vaste
22. léger: lourd, pesant, fin
23. lent: rapide, vitesse, doucement
24. libre: occupé, prisonnier, disponible
25. loin: près, proche, distant
26. majeur: mineur, grand, important
27. malade: sain, guéri, souffrant
28. marié: célibataire, divorcé, uni
29. matin: soir, aube, journée
30. meilleur: pire, supérieur, excellent
31. mettre: enlever, poser, placer
32. mince: épais, fin, svelte
33. monter: descendre, grimper, escalader
34. mort: vivant, vie, décédé
35. mouillé: sec, humide, trempé
36. naître: mourir, venir au monde, exister
37. noir: blanc, sombre, obscur
38. obéir: désobéir, écouter, suivre
39. ouvrir: fermer, clore, entrouvrir
40. parler: se taire, dire, discuter
41. partir: arriver, venir, s'en aller
42. passé: futur, présent, ancien
43. patient: impatient, calme, persévérant
44. perdre: trouver, gagner, égarer
4un. plein: vide, rempli, comble
45. plus: moins, davantage, supplémentaire
46. poli: impoli, courtois, grossier
47. possible: impossible, faisable, réalisable
48. premier: dernier, initial, débutant
49. prendre: laisser, donner, saisir
50. propre: sale, net, crasseux
51. punir: récompenser, sanctionner, féliciter
52. question: réponse, interrogation, demande
53. rapide: lent, vite, véloce
54. recevoir: donner, envoyer, accepter
55. rire: pleurer, sourire, s'amuser
56. riche: pauvre, fortuné, misérable
57. sage: turbulent, calme, dissipé
58. savoir: ignorer, connaître, apprendre
59. simple: compliqué, facile, complexe
60. solide: liquide, robuste, fragile
61. souvent: rarement, parfois, fréquemment
62. subtil: grossier, fin, délicat
63. success: échec, réussite, victoire
64. tard: tôt, en retard, à l'heure
65. terne: brillant, mat, éclatant
66. toujours: jamais, souvent, constamment
67. tranquille: agité, calme, bruyant
68. triste: joyeux, content, heureux
69. unir: séparer, joindre, diviser
70. utile: inutile, pratique, nécessaire
71. vendre: acheter, vendre, donner
72. vérité: mensonge, faux, vrai
73. vide: plein, rempli, creux
74. vieux: jeune, neuf, ancien
75. vite: lentement, rapidement, vitesse
76. visible: invisible, apparent, caché
77. voler: ramper, planer, dérober
78. volontaire: involontaire, obligé, spontané
79. vrai: faux, vérité, mensonge
80. aimer: détester, adorer, haïr
